,name,duration,breakable,parallel,state
0,Mode_D,30,{},{},{}
1,Mode_E,30,{},{},{}
2,Mode_F,30,{},{},{}
3,Mode_setup_E_D,50,{},{},"{'Setup_State': [(2, 1)]}"
4,Mode_setup_start_D,0,{},{},"{'Setup_State': [(0, 1)]}"
5,Mode_setup_F_D,0,{},{},"{'Setup_State': [(3, 1)]}"
6,Mode_setup_D_E,10,{},{},"{'Setup_State': [(1, 2)]}"
7,Mode_setup_F_E,10,{},{},"{'Setup_State': [(3, 2)]}"
8,Mode_setup_start_E,10,{},{},"{'Setup_State': [(0, 2)]}"
9,Mode_setup_E_F,10,{},{},"{'Setup_State': [(2, 3)]}"
10,Mode_setup_start_F,0,{},{},"{'Setup_State': [(0, 3)]}"
11,Mode_setup_D_F,0,{},{},"{'Setup_State': [(1, 3)]}"
