,mode,resource,type,requirement
0,Mode[1][1],machine[1],max,"{(0, 'inf'): 1}"
1,Mode[1][1],manpower,,"{(0, 2): 1}"
2,Mode[1][3],machine[3],max,"{(0, 'inf'): 1}"
3,Mode[1][3],manpower,,"{(0, 2): 1}"
4,Mode[2][1],machine[3],max,"{(0, 'inf'): 1}"
5,Mode[2][1],manpower,,"{(0, 2): 1}"
6,Mode[2][2],machine[1],max,"{(0, 'inf'): 1}"
7,Mode[2][2],manpower,,"{(0, 2): 1}"
8,Mode[3][1],machine[1],max,"{(0, 'inf'): 1}"
9,Mode[3][1],manpower,,"{(0, 2): 1}"
10,Mode[3][2],machine[3],max,"{(0, 'inf'): 1}"
11,Mode[3][2],manpower,,"{(0, 2): 1}"
12,Mode[4][2],machine[3],max,"{(0, 'inf'): 1}"
13,Mode[4][2],manpower,,"{(0, 2): 1}"
14,Mode[4][3],machine[1],max,"{(0, 'inf'): 1}"
15,Mode[4][3],manpower,,"{(0, 2): 1}"
16,dummy_mode,machine[1],break,"{(0, 0): 1}"
17,Mode[1][2],machine[2],max,"{(0, 'inf'): 1}"
18,Mode[1][2],manpower,,"{(0, 2): 1}"
19,Express,machine[2],max,"{(0, 'inf'): 1}"
20,Express,manpower,,"{(0, 2): 1}"
21,Mode[2][3],machine[2],max,"{(0, 'inf'): 1}"
22,Mode[2][3],manpower,,"{(0, 2): 1}"
23,Mode[3][3],machine[2],max,"{(0, 'inf'): 1}"
24,Mode[3][3],manpower,,"{(0, 2): 1}"
25,Mode[4][1],machine[2],max,"{(0, 'inf'): 1}"
26,Mode[4][1],manpower,,"{(0, 2): 1}"
