,name,duration,breakable,parallel,state
0,Mode[00],1,{},{},{}
1,Mode[01],3,{},{},{}
2,Mode[02],6,{},{},{}
3,Mode[03],7,{},{},{}
4,Mode[04],3,{},{},{}
5,Mode[05],6,{},{},{}
6,Mode[10],8,{},{},{}
7,Mode[11],5,{},{},{}
8,Mode[12],10,{},{},{}
9,Mode[13],10,{},{},{}
10,Mode[14],10,{},{},{}
11,Mode[15],4,{},{},{}
12,Mode[20],5,{},{},{}
13,Mode[21],4,{},{},{}
14,Mode[22],8,{},{},{}
15,Mode[23],9,{},{},{}
16,Mode[24],1,{},{},{}
17,Mode[25],7,{},{},{}
18,Mode[30],5,{},{},{}
19,Mode[31],5,{},{},{}
20,Mode[32],5,{},{},{}
21,Mode[33],3,{},{},{}
22,Mode[34],8,{},{},{}
23,Mode[35],9,{},{},{}
24,Mode[40],9,{},{},{}
25,Mode[41],3,{},{},{}
26,Mode[42],5,{},{},{}
27,Mode[43],4,{},{},{}
28,Mode[44],3,{},{},{}
29,Mode[45],1,{},{},{}
30,Mode[50],3,{},{},{}
31,Mode[51],3,{},{},{}
32,Mode[52],9,{},{},{}
33,Mode[53],10,{},{},{}
34,Mode[54],4,{},{},{}
35,Mode[55],1,{},{},{}
