,name,duration,breakable,parallel,state
0,Mode[1][1],7,"{(1, 1): 'inf'}","{(1, 1): 2}",{}
1,Mode[1][3],4,"{(1, 1): 'inf'}",{},{}
2,Mode[2][1],9,"{(1, 1): 'inf'}",{},{}
3,Mode[2][2],5,"{(1, 1): 'inf'}","{(1, 1): 2}",{}
4,Mode[3][1],3,"{(1, 1): 'inf'}","{(1, 1): 2}",{}
5,Mode[3][2],9,"{(1, 1): 'inf'}",{},{}
6,Mode[4][2],13,"{(1, 1): 'inf'}",{},{}
7,Mode[4][3],9,"{(1, 1): 'inf'}","{(1, 1): 2}",{}
8,dummy_mode,0,"{(0, 0): 'inf'}",{},{}
9,Mode[1][2],10,"{(1, 1): 'inf'}",{},{}
10,Express,4,"{(1, 1): 'inf'}",{},{}
11,Mode[2][3],11,"{(1, 1): 'inf'}",{},{}
12,Mode[3][3],12,"{(1, 1): 'inf'}",{},{}
13,Mode[4][1],6,"{(1, 1): 'inf'}",{},{}
